root_groups,leaf_rows,operation,median_us,p90_us,min_us,max_us,repeats
8,64,sample.split,792.5,810.042,779.667,1052.708,100
8,64,sample.split_concat,201.27100000000002,212.041,196.708,226.75,100
8,64,sample.select_half,954.25,977.709,941.292,1140.167,100
8,64,sample.propagate_rewards,37.042,37.958,36.583,46.25,100
8,64,tensorref.select_contiguous,1.875,1.958,1.791,2.708,100
8,64,tensorref.select_strided,20.125,20.416,19.708,25.792,100
32,256,sample.split,3172.312,3248.5,3087.333,3536.417,100
32,256,sample.split_concat,488.5625,496.791,479.666,526.666,100
32,256,sample.select_half,3538.562,3615.75,3478.375,3809.75,100
32,256,sample.propagate_rewards,76.0,78.75,75.0,88.209,100
32,256,tensorref.select_contiguous,1.792,1.875,1.708,6.708,100
32,256,tensorref.select_strided,74.1455,76.792,72.833,104.792,100
128,1024,sample.split,12834.0,13091.625,12564.375,13776.292,100
128,1024,sample.split_concat,1653.0,1700.5,1626.167,1905.416,100
128,1024,sample.select_half,13893.5,14139.334,13604.292,14885.25,100
128,1024,sample.propagate_rewards,234.5625,245.666,227.167,404.042,100
128,1024,tensorref.select_contiguous,2.0,2.125,1.875,2.667,100
128,1024,tensorref.select_strided,327.854,337.5,313.667,451.584,100
